,cue,target,objectSentence,objectImage,trialType,isMatch,trialList,trialIndex,shapesentence,shapeImage,shapeSentence
105,There was a hippo in the zoo.,crane,hippo,crane,filler,NA,4,106,,NA,NA
106,There was a mouse in the trap.,wateringcan,mouse,wateringcan,filler,NA,4,107,,NA,NA
107,There was a cap on the head.,car,cap,car,filler,NA,4,108,,NA,NA
108,There was a chessboard in the classroom.,bridge,chessboard,bridge,filler,NA,4,109,,NA,NA
109,There was a kettle in the kitchen.,measuringtape,kettle,measuringtape,filler,NA,4,110,,NA,NA
110,There was a blanket in the armchair.,pan,blanket,pan,filler,NA,4,111,,NA,NA
111,There was a mayonnaise in the sandwich.,tweezers,mayonnaise,tweezers,filler,NA,4,112,,NA,NA
112,There was a head on the neck.,pinecone,head,pinecone,filler,NA,4,113,,NA,NA
113,There was a skier in the mountain.,mangocut,skier,mangocut,filler,NA,4,114,,NA,NA
114,There was a lounge in the garden.,racquetballracket,lounge,racquetballracket,filler,NA,4,115,,NA,NA
115,There was a seal in the cove.,brush,seal,brush,filler,NA,4,116,,NA,NA
116,There was a pitcher in the bar.,spraycan,pitcher,spraycan,filler,NA,4,117,,NA,NA
117,There was a dart in his hand.,cheesslice,dart,cheesslice,filler,NA,4,118,,NA,NA
118,There was a guitar on the stage.,candle,guitar,candle,filler,NA,4,119,,NA,NA
119,There was a cottage in the valley.,candy,,candy,filler,NA,4,120,,NA,NA
